,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL
109, Tiffany & Co.,TF2116B Women's Square Eyeglasses, EUR 374.98,None,4.5577,https://www.macys.com/shop/product/tiffany-co.-tf2116b-womens-square-eyeglasses?ID=14411878
110, Cole Haan,Leather Flip Mitt Gloves,Now  EUR 65.82,EUR 87.76,4,https://www.macys.com/shop/product/cole-haan-leather-flip-mitt-gloves?ID=18635968
111, Lucky Brand,Western Suede Belt, EUR 59.34,None,4.6154,https://www.macys.com/shop/product/lucky-brand-western-suede-belt?ID=16073068
112, I.N.C. International Concepts,"Women's 2-Pc. Faux-Leather Belt Set, Created for Macy's",Now  EUR 12.70,EUR 42.38,5,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-2-pc.-faux-leather-belt-set-created-for-macys?ID=18836814
113, Frye,25mm Flat Strap Keeper with Shot Bead Edge, EUR 47.87,None,4,https://www.macys.com/shop/product/frye-25mm-flat-strap-keeper-with-shot-bead-edge?ID=17390827
114, Cole Haan,Women's Braided-Cuff Leather Gloves,Now  EUR 73.30,EUR 97.73,4.4545,https://www.macys.com/shop/product/cole-haan-womens-braided-cuff-leather-gloves?ID=16377331
115, Style & Co,"Women's Packable Paper Framer Hat, Created for Macy's",Now  EUR 15.29,EUR 38.40,4.6667,https://www.macys.com/shop/product/style-co-womens-packable-paper-framer-hat-created-for-macys?ID=17390028
116, Balenciaga,"Women's Sunglasses, BB0258S",Now  EUR 342.07,EUR 488.67,2.5,https://www.macys.com/shop/product/balenciaga-womens-sunglasses-bb0258s?ID=16444259
117, I.N.C. International Concepts,"Women's Embellished Skipper Cap, Created for Macy's",Sale  EUR 22.19,EUR 44.38,4.5,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-embellished-skipper-cap-created-for-macys?ID=18823797
118, Charter Club,"Cashmere ""Ciao"" Sleep Mask + Socks Boxed Gift Set, Created for Macy's",Sale  EUR 43.68,EUR 109.20,None,https://www.macys.com/shop/product/charter-club-cashmere-ciao-sleep-mask-socks-boxed-gift-set-created-for-macys?ID=18135173
119, Angela & William,Faux Fur Pom Beanie with Fleece Lining, EUR 47.87,None,3.25,https://www.macys.com/shop/product/angela-william-faux-fur-pom-beanie-with-fleece-lining?ID=10476083
120, Cole Haan,Classic Winter Gloves,Now  EUR 50.86,EUR 67.82,1,https://www.macys.com/shop/product/cole-haan-classic-winter-gloves?ID=18636023
121, I.N.C. International Concepts,"Women's Faux-Fur-Trim Scarf, Created for Macy's",Sale  EUR 14.36,EUR 47.87,None,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-faux-fur-trim-scarf-created-for-macys?ID=18678100
