,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL,Product Description
2250,Style & Co,"Plus Size Linen Blend Reversible Kimono, Created for Macy's ",Now  EUR 30.51, EUR 78.68 ,Rated 4 stars with 5 reviews,https://www.macys.com/shop/product/style-co-plus-size-linen-blend-reversible-kimono-created-for-macys?ID=17943961, Product Features 3/4-sleeves Created for Macy's Collarless; open front Reversible Imported
2251,Style & Co,"Plus Size Linen Blend Reversible Kimono, Created for Macy's ",Now  EUR 30.51, EUR 78.68 ,Rated 4 stars with 5 reviews,https://www.macys.com/shop/product/style-co-plus-size-linen-blend-reversible-kimono-created-for-macys?ID=17943961, Product Features 3/4-sleeves Created for Macy's Collarless; open front Reversible Imported
2252,Jones New York,Women's Open-Front Ruched-Sleeve Jacket,Sale  EUR 57.67, EUR 128.16 ,None,https://www.macys.com/shop/product/jones-new-york-womens-open-front-ruched-sleeve-jacket?ID=18488257, Product Features Two welt pockets at hipsRuched sleevesNotched lapels; open frontUnlinedImported
2253,Jones New York,Women's Open-Front Ruched-Sleeve Jacket,Sale  EUR 57.67, EUR 128.16 ,None,https://www.macys.com/shop/product/jones-new-york-womens-open-front-ruched-sleeve-jacket?ID=18488257, Product Features Two welt pockets at hipsRuched sleevesNotched lapels; open frontUnlinedImported
2254,Jones New York,Women's Open-Front Ruched-Sleeve Jacket,Sale  EUR 57.67, EUR 128.16 ,None,https://www.macys.com/shop/product/jones-new-york-womens-open-front-ruched-sleeve-jacket?ID=18488257, Product Features Two welt pockets at hipsRuched sleevesNotched lapels; open frontUnlinedImported
2255,Jones New York,Women's Open-Front Ruched-Sleeve Jacket,Sale  EUR 57.67, EUR 128.16 ,None,https://www.macys.com/shop/product/jones-new-york-womens-open-front-ruched-sleeve-jacket?ID=18488257, Product Features Two welt pockets at hipsRuched sleevesNotched lapels; open frontUnlinedImported
2256,Bar III,"Petite 3/4-Sleeve Shawl-Collar Blazer, Created for Macy's",Sale  EUR 18.37, EUR 48.99 ,Rated 2 stars with 1 reviews,https://www.macys.com/shop/product/bar-iii-petite-3-4-sleeve-shawl-collar-blazer-created-for-macys?ID=19436793, Product Features 3/4-sleeves; ruched cuffsWelt pocketsShawl collar; open-front styleImportedCreated for Macy's
2257,Bar III,"Petite 3/4-Sleeve Shawl-Collar Blazer, Created for Macy's",Sale  EUR 18.37, EUR 48.99 ,Rated 2 stars with 1 reviews,https://www.macys.com/shop/product/bar-iii-petite-3-4-sleeve-shawl-collar-blazer-created-for-macys?ID=19436793, Product Features 3/4-sleeves; ruched cuffsWelt pocketsShawl collar; open-front styleImportedCreated for Macy's
2258,Bar III,"Petite 3/4-Sleeve Shawl-Collar Blazer, Created for Macy's",Sale  EUR 18.37, EUR 48.99 ,Rated 2 stars with 1 reviews,https://www.macys.com/shop/product/bar-iii-petite-3-4-sleeve-shawl-collar-blazer-created-for-macys?ID=19436793, Product Features 3/4-sleeves; ruched cuffsWelt pocketsShawl collar; open-front styleImportedCreated for Macy's
2259,Bar III,"Petite 3/4-Sleeve Shawl-Collar Blazer, Created for Macy's",Sale  EUR 18.37, EUR 48.99 ,Rated 2 stars with 1 reviews,https://www.macys.com/shop/product/bar-iii-petite-3-4-sleeve-shawl-collar-blazer-created-for-macys?ID=19436793, Product Features 3/4-sleeves; ruched cuffsWelt pocketsShawl collar; open-front styleImportedCreated for Macy's
