,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL
1310,Sam Edelman,NEW! Bianka Woven  Hobo,EUR 385.71,None,None,https://www.macys.com/shop/product/sam-edelman-bianka-woven-hobo?ID=19227634
1311,Sam Edelman,NEW! Bianka Woven  Hobo,EUR 385.71,None,None,https://www.macys.com/shop/product/sam-edelman-bianka-woven-hobo?ID=19227634
1312,Patricia Nash,NEW! Wyatt Extra-Large Leather Tote,EUR 291.97,None,Rated 5 stars with 3 reviews,https://www.macys.com/shop/product/patricia-nash-wyatt-extra-large-leather-tote?ID=18765163
1313,Patricia Nash,NEW! Wyatt Extra-Large Leather Tote,EUR 291.97,None,Rated 5 stars with 3 reviews,https://www.macys.com/shop/product/patricia-nash-wyatt-extra-large-leather-tote?ID=18765163
1314,Brahmin,Aliza Melbourne Large Leather Tote,EUR 336.89,None,Rated 4.6923 stars with 13 reviews,https://www.macys.com/shop/product/brahmin-aliza-melbourne-large-leather-tote?ID=18765284
1315,Brahmin,Aliza Melbourne Large Leather Tote,EUR 336.89,None,Rated 4.6923 stars with 13 reviews,https://www.macys.com/shop/product/brahmin-aliza-melbourne-large-leather-tote?ID=18765284
1316,Brahmin,NEW! Rosa Melbourne Embossed Leather Crossbody Bag,Sale  EUR 215.32, EUR 307.59 ,Rated 5 stars with 3 reviews,https://www.macys.com/shop/product/brahmin-rosa-melbourne-embossed-leather-crossbody-bag?ID=18765307
1317,Brahmin,NEW! Rosa Melbourne Embossed Leather Crossbody Bag,Sale  EUR 215.32, EUR 307.59 ,Rated 5 stars with 3 reviews,https://www.macys.com/shop/product/brahmin-rosa-melbourne-embossed-leather-crossbody-bag?ID=18765307
1318,Brahmin,Daisy Melbourne Embossed Leather Clutch,EUR 112.30,None,Rated 4.8893 stars with 244 reviews,https://www.macys.com/shop/product/brahmin-daisy-melbourne-embossed-leather-clutch?ID=11968942
1319,Brahmin,Daisy Melbourne Embossed Leather Clutch,EUR 112.30,None,Rated 4.8893 stars with 244 reviews,https://www.macys.com/shop/product/brahmin-daisy-melbourne-embossed-leather-clutch?ID=11968942
1320,Giani Bernini,"Saffiano North South Crossbody, Created for Macy's",Sale  EUR 38.82, EUR 77.63 ,Rated 3.85 stars with 20 reviews,https://www.macys.com/shop/product/giani-bernini-saffiano-north-south-crossbody-created-for-macys?ID=11994592
1321,Giani Bernini,"Saffiano North South Crossbody, Created for Macy's",Sale  EUR 38.82, EUR 77.63 ,Rated 3.85 stars with 20 reviews,https://www.macys.com/shop/product/giani-bernini-saffiano-north-south-crossbody-created-for-macys?ID=11994592
1322,Giani Bernini,"Pebble Leather Receipt Wallet, Created for Macy's",Sale  EUR 31.49, EUR 62.98 ,Rated 4.4388 stars with 237 reviews,https://www.macys.com/shop/product/giani-bernini-pebble-leather-receipt-wallet-created-for-macys?ID=792789
1323,Giani Bernini,"Pebble Leather Receipt Wallet, Created for Macy's",Sale  EUR 31.49, EUR 62.98 ,Rated 4.4388 stars with 237 reviews,https://www.macys.com/shop/product/giani-bernini-pebble-leather-receipt-wallet-created-for-macys?ID=792789
1324,Mancini,Pebbled Collection Daisy North-South Leather Crossbody Bag,Sale  EUR 68.34, EUR 136.70 ,Rated 4 stars with 3 reviews,https://www.macys.com/shop/product/mancini-pebbled-collection-daisy-north-south-leather-crossbody-bag?ID=16699945
1325,Mancini,Pebbled Collection Daisy North-South Leather Crossbody Bag,Sale  EUR 68.34, EUR 136.70 ,Rated 4 stars with 3 reviews,https://www.macys.com/shop/product/mancini-pebbled-collection-daisy-north-south-leather-crossbody-bag?ID=16699945
1326,Patricia Nash,Linny Small Leather Saddle Bag,EUR 184.56,None,Rated 3.6667 stars with 3 reviews,https://www.macys.com/shop/product/patricia-nash-linny-small-leather-saddle-bag?ID=18765156
1327,Patricia Nash,Linny Small Leather Saddle Bag,EUR 184.56,None,Rated 3.6667 stars with 3 reviews,https://www.macys.com/shop/product/patricia-nash-linny-small-leather-saddle-bag?ID=18765156
1328,I.N.C. International Concepts,"Metal Chain Belt, Created for Macy's",Sale  EUR 16.84, EUR 33.69 ,Rated 4.1284 stars with 109 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-metal-chain-belt-created-for-macys?ID=5711182
